Timestamp,WeatherStation,TemperatureAvg,TemperatureMax,TemperatureMin,WindSpeed
03.01.2020,BHM,39.0,46.0,32.0,4.33
03.01.2020,HSV,39.0,47.0,31.0,3.86
03.01.2020,MOB,46.0,51.0,41.0,9.73
03.01.2020,MGM,45.0,52.0,38.0,6.86
03.01.2020,ANC,34.0,38.0,29.0,7.8
03.01.2020,ANN,38.0,44.0,31.0,8.7
03.01.2020,BET,30.0,36.0,24.0,16.46
03.01.2020,BTT,22.0,32.0,9.0,3.1
03.01.2020,CDB,34.0,36.0,31.0,9.1
03.01.2020,CDV,38.0,43.0,33.0,9.76
03.01.2020,BIG,31.0,39.0,23.0,17.9
03.01.2020,FAI,14.0,30.0,4.0,2.2
03.01.2020,GKN,27.0,34.0,19.0,8.23
03.01.2020,HOM,39.0,42.0,35.0,11.26
03.01.2020,ILI,40.0,42.0,37.0,19.76
03.01.2020,JNU,36.0,40.0,31.0,9.23
03.01.2020,ENA,34.0,37.0,30.0,11.2
03.01.2020,KTN,37.0,41.0,33.0,6.16
03.01.2020,AKN,39.0,42.0,35.0,18.83
03.01.2020,ADQ,40.0,42.0,36.0,21.8
03.01.2020,OTZ,27.0,33.0,20.0,11.76
03.01.2020,MCG,30.0,39.0,20.0,3.7
03.01.2020,OME,29.0,32.0,25.0,12.86
03.01.2020,ORT,0.0,8.0,-9.0,0.36
03.01.2020,PAQ,37.0,42.0,32.0,10.5
03.01.2020,PSG,60.0,60.0,60.0,1.83
03.01.2020,PTI,0.0,0.0,0.0,0.0
03.01.2020,SYA,0.0,0.0,0.0,0.0
03.01.2020,SIT,43.0,46.0,39.0,11.26
03.01.2020,SGY,38.0,42.0,33.0,5.2
03.01.2020,SNP,32.0,35.0,29.0,9.03
03.01.2020,TKA,32.0,39.0,23.0,4.93
03.01.2020,TAL,21.0,29.0,13.0,3.83
03.01.2020,BRW,6.0,9.0,2.0,13.76
03.01.2020,YAK,36.0,40.0,32.0,5.93
03.01.2020,DUG,41.0,57.0,24.0,4.2
03.01.2020,IGM,40.0,54.0,25.0,4.2
03.01.2020,PHX,58.0,69.0,45.0,5.8
03.01.2020,TUS,56.0,69.0,43.0,12.93
03.01.2020,INW,29.0,42.0,15.0,2.7
03.01.2020,FSM,39.0,51.0,27.0,5.16
03.01.2020,HRO,38.0,48.0,27.0,7.4
03.01.2020,LZK,42.0,49.0,34.0,0.0
03.01.2020,BFL,47.0,60.0,33.0,2.2
03.01.2020,BIH,27.0,42.0,12.0,3.06
03.01.2020,NID,35.0,49.0,21.0,1.56
03.01.2020,CCR,44.0,51.0,37.0,4.06
03.01.2020,EKA,44.0,53.0,33.0,0.0
03.01.2020,FAT,46.0,55.0,36.0,0.86
03.01.2020,HWD,47.0,53.0,41.0,6.56
03.01.2020,LGB,54.0,65.0,43.0,2.13
03.01.2020,LAX,55.0,63.0,45.0,2.76
03.01.2020,RBL,44.0,50.0,36.0,7.73
03.01.2020,RDD,45.0,51.0,38.0,6.16
03.01.2020,SAC,44.0,52.0,34.0,3.63
03.01.2020,SNS,49.0,57.0,41.0,6.46
03.01.2020,SAN,55.0,64.0,45.0,1.83
03.01.2020,SFO,46.0,51.0,41.0,4.43
03.01.2020,SDB,39.0,44.0,33.0,18.8
03.01.2020,SBA,51.0,62.0,39.0,4.9
03.01.2020,SMX,51.0,63.0,37.0,3.86
03.01.2020,SCK,42.0,51.0,33.0,1.86
03.01.2020,ALS,14.0,33.0,-5.0,1.4
03.01.2020,COS,28.0,45.0,9.0,3.13
03.01.2020,CAG,-10.0,3.0,-23.0,0.4
03.01.2020,DEN,27.0,40.0,12.0,7.2
03.01.2020,GJT,14.0,24.0,4.0,4.46
03.01.2020,PUB,26.0,47.0,4.0,1.93
03.01.2020,BDR,38.0,43.0,32.0,8.86
03.01.2020,BDL,34.0,40.0,27.0,6.2
