Station.City;Station.Code;Station.State;Station.USPS
Anchorage;ANC;Alaska;AK
Annette;ANN;Alaska;AK
Bethel;BET;Alaska;AK
Bettles;BTT;Alaska;AK
Cold Bay;CDB;Alaska;AK
Cordova;CDV;Alaska;AK
Delta Junction/Ft Greely;BIG;Alaska;AK
Fairbanks;FAI;Alaska;AK
Gulkana;GKN;Alaska;AK
Gustavus;GST;Alaska;AK
Homer;HOM;Alaska;AK
Iliamna;ILI;Alaska;AK
Juneau;JNU;Alaska;AK
Kenai;ENA;Alaska;AK
Ketchikan;KTN;Alaska;AK
King Salmon;AKN;Alaska;AK
Kodiak;ADQ;Alaska;AK
Kotzebue;OTZ;Alaska;AK
Mc Grath;MCG;Alaska;AK
Nome;OME;Alaska;AK
Northway;ORT;Alaska;AK
Palmer;PAQ;Alaska;AK
Petersburg;PSG;Alaska;AK
Puntilla Lake;PTI;Alaska;AK
Shemya;SYA;Alaska;AK
Sitka;SIT;Alaska;AK
Skagway;SGY;Alaska;AK
St Paul Island;SNP;Alaska;AK
Talkeetna;TKA;Alaska;AK
Tanana;TAL;Alaska;AK
Unalakleet;UNK;Alaska;AK
Utqiagvik (Barrow);BRW;Alaska;AK
Wrangell;WRG;Alaska;AK
Yakutat;YAK;Alaska;AK
Birmingham;BHM;Alabama;AL
Huntsville;HSV;Alabama;AL
Mobile;MOB;Alabama;AL
Montgomery;MGM;Alabama;AL
